combo,mean_f1,std_f1
"('B10', 'B11', 'B5', 'B4', 'B6')",0.6882821838491368,0.0035383125275337524
"('B10', 'B11', 'B5', 'B4', 'B7')",0.6860289478062943,0.0038340467959275563
"('B10', 'B11', 'B5', 'B4', 'B9')",0.680576295728145,0.003300537199730353
"('B10', 'B11', 'B5', 'B4', 'B8')",0.6785298481502808,0.004620179157924809
"('B10', 'B11', 'B4', 'B1', 'B7')",0.6767781876948273,0.0023724891697482387
"('B10', 'B11', 'B4', 'B3', 'B6')",0.6765083094716341,0.003680695121500331
"('B10', 'B5', 'B4', 'B1', 'B6')",0.6761393737973439,0.005798962774682444
"('B10', 'B11', 'B4', 'B3', 'B7')",0.674948017884466,0.003313739812546104
"('B10', 'B11', 'B4', 'B2', 'B7')",0.6742169837944875,0.004062731185150758
"('B11', 'B5', 'B4', 'B6', 'B9')",0.6735823053757627,0.0023526540281145533
"('B10', 'B5', 'B4', 'B1', 'B7')",0.6731818099223551,0.0069742993662605625
"('B10', 'B5', 'B4', 'B6', 'B9')",0.6730206101555471,0.0057359202683123
"('B11', 'B5', 'B4', 'B3', 'B6')",0.6727907641667809,0.0040291702393813
"('B10', 'B11', 'B4', 'B3', 'B8')",0.6717311097291074,0.00375632984701942
"('B10', 'B11', 'B4', 'B6', 'B9')",0.6713958320195896,0.005319318028948617
"('B10', 'B11', 'B4', 'B3', 'B9')",0.6713341235240886,0.004661351061873212
"('B10', 'B5', 'B4', 'B3', 'B6')",0.6712543784836785,0.005885709184368694
"('B10', 'B11', 'B4', 'B1', 'B6')",0.6709563457733435,0.0032527069251437326
"('B10', 'B11', 'B4', 'B1', 'B9')",0.6706836829864257,0.002072574734791472
"('B10', 'B5', 'B4', 'B2', 'B6')",0.6705686457062544,0.006029464902710396
"('B10', 'B11', 'B4', 'B6', 'B7')",0.6699167140318286,0.003654216479979214
"('B10', 'B11', 'B4', 'B2', 'B6')",0.669485961011348,0.0038963664170421374
"('B10', 'B11', 'B4', 'B1', 'B8')",0.6690068603114477,0.002974253855829764
"('B10', 'B11', 'B5', 'B3', 'B7')",0.6686294136484524,0.002433665411146808
"('B10', 'B5', 'B4', 'B1', 'B9')",0.6681677592711658,0.005532192951086269
"('B10', 'B11', 'B4', 'B2', 'B9')",0.6675557015434296,0.0038383001435444795
"('B11', 'B5', 'B4', 'B2', 'B6')",0.6669480045950662,0.004018801758263376
"('B10', 'B11', 'B4', 'B2', 'B8')",0.6667315208238448,0.004679018750149166
"('B11', 'B5', 'B4', 'B1', 'B6')",0.6663295289003216,0.0032946634697443634
"('B10', 'B5', 'B4', 'B1', 'B8')",0.6660579382393043,0.005183246386907686
"('B10', 'B11', 'B5', 'B3', 'B6')",0.6656622627976171,0.004115630902656099
"('B10', 'B11', 'B5', 'B6', 'B9')",0.6655453294951426,0.0029522917854896925
"('B10', 'B11', 'B4', 'B6', 'B8')",0.6650231164131011,0.00450453009281704
"('B10', 'B5', 'B4', 'B2', 'B7')",0.6649354093715386,0.00587356235883591
"('B10', 'B11', 'B5', 'B6', 'B7')",0.6635188293008868,0.0035412186785376597
"('B10', 'B4', 'B3', 'B1', 'B7')",0.6634388132571707,0.005173127197507629
"('B10', 'B4', 'B3', 'B1', 'B6')",0.6631784515786575,0.0033632999945058984
"('B10', 'B11', 'B5', 'B2', 'B6')",0.6631527772641804,0.00324084383014734
"('B10', 'B4', 'B3', 'B1', 'B9')",0.6628993479629803,0.003288409811037352
"('B10', 'B5', 'B4', 'B3', 'B7')",0.6624380605926072,0.006591006739129431
"('B10', 'B4', 'B1', 'B6', 'B9')",0.6621683525639135,0.003018883409365107
"('B10', 'B5', 'B4', 'B2', 'B9')",0.6620981137106889,0.004196034693699184
"('B10', 'B11', 'B5', 'B3', 'B9')",0.6616513520010088,0.0026857029684653577
"('B10', 'B11', 'B5', 'B1', 'B7')",0.6615213867100372,0.0013504303745143517
"('B10', 'B11', 'B5', 'B2', 'B7')",0.661519698282199,0.0021613492124164537
"('B11', 'B5', 'B4', 'B6', 'B8')",0.6612507878612547,0.003809797891684952
"('B10', 'B4', 'B3', 'B1', 'B8')",0.6611777680847376,0.004483380992466507
"('B10', 'B5', 'B4', 'B7', 'B9')",0.6611509674894388,0.006125286576348139
"('B10', 'B5', 'B4', 'B3', 'B9')",0.6603718705937238,0.004964609475520515
"('B10', 'B11', 'B5', 'B3', 'B8')",0.6602299289730076,0.0025612764350665253
"('B11', 'B5', 'B4', 'B3', 'B7')",0.6602152415647944,0.005779295758162391
"('B10', 'B5', 'B4', 'B6', 'B7')",0.6599366608268659,0.006826450336088278
"('B10', 'B4', 'B3', 'B6', 'B9')",0.6596342703532582,0.00530001877416983
"('B11', 'B5', 'B4', 'B1', 'B7')",0.6593585625770318,0.003924524569826127
"('B10', 'B5', 'B4', 'B6', 'B8')",0.6589525505986465,0.003938258702053447
"('B11', 'B4', 'B3', 'B1', 'B6')",0.6587658255829606,0.002953457490495933
"('B10', 'B5', 'B4', 'B2', 'B8')",0.6585475888472655,0.0037624491508119126
"('B10', 'B5', 'B4', 'B3', 'B8')",0.6584245137995189,0.005636751985043438
"('B10', 'B11', 'B5', 'B2', 'B9')",0.6582129838214476,0.0027958228974425117
"('B11', 'B5', 'B4', 'B2', 'B7')",0.6579743861879801,0.004387579777641243
"('B11', 'B4', 'B2', 'B6', 'B9')",0.6578337615441346,0.004643603871381674
"('B11', 'B5', 'B4', 'B2', 'B9')",0.6574518885748072,0.0037117837854117393
"('B10', 'B4', 'B2', 'B1', 'B7')",0.6574056526737843,0.003146248794156199
"('B11', 'B5', 'B4', 'B3', 'B8')",0.6573364813745416,0.0032949410897070573
"('B10', 'B11', 'B4', 'B7', 'B9')",0.6572616250286244,0.005999627869442342
"('B11', 'B4', 'B3', 'B6', 'B9')",0.6571003803991449,0.005070770829387105
"('B11', 'B5', 'B4', 'B6', 'B7')",0.6569969709362061,0.002902380159671537
"('B11', 'B5', 'B4', 'B3', 'B9')",0.6569000838053413,0.004350164835369582
"('B11', 'B5', 'B4', 'B1', 'B8')",0.656570868292317,0.00501136433486645
