step,band,n_bands,mIoU,gain,accepted,elapsed_s
0,B11_20220101,1,0.0707,0.0707,True,174
1,B12_20220101,2,0.079,0.0082,True,161
2,B12_20220131,3,0.113,0.0341,True,170
3,B8A_20220101,4,0.1109,-0.0021,False,165
4,B12_20220116,4,0.1132,0.0002,False,174
5,B1_20220131,4,0.1246,0.0115,True,151
6,B8A_20220131,5,0.1306,0.006,True,150
7,B8_20220101,6,0.1322,0.0016,False,150
8,B8_20220131,6,0.1295,-0.0011,False,150
9,B7_20220131,6,0.1375,0.0069,True,151
10,B11_20220116,7,0.1389,0.0014,False,151
11,B8A_20220116,7,0.137,-0.0006,False,153
12,B2_20220131,7,0.1304,-0.0072,False,156
