,GSI (norm),RF (norm),Joint Score,Selected
B11_20220101,0.7615949,0.9999999768299251,0.880797434189041,True
B12_20220101,0.7514733,0.6723864626805204,0.7119298851450393,True
B12_20220131,0.84649104,0.4133676729779606,0.6299293558886232,True
B8A_20220101,0.9610177,0.29181413572104997,0.6264159317864588,True
B12_20220116,0.7994308,0.33572112763791656,0.5675759576006203,True
B1_20220131,0.9441842,0.18523156417316256,0.5647078741237822,True
B8A_20220131,1.0,0.11652731329463126,0.5582636566473156,True
B8_20220101,0.8927872,0.22205936825671393,0.557423293175293,True
B8_20220131,0.9676614,0.09030402108403292,0.5289827009259276,True
B7_20220131,0.96703017,0.07797089569252225,0.5225005316360866,True
B11_20220116,0.69058764,0.31487687403307746,0.5027322569208661,True
B8A_20220116,0.88997245,0.10459375310300613,0.49728310072600257,True
B2_20220131,0.8111823,0.16915333870597624,0.49016782941196335,True
B1_20220116,0.788148,0.1694078549821533,0.4787779204586822,True
B4_20220131,0.7615896,0.17399039730209664,0.4677899920184342,True
B7_20220101,0.8723154,0.04509082221128244,0.45870311450529944,True
B6_20220131,0.8241728,0.07817398292611336,0.45117338887249575,True
B8_20220116,0.8415685,0.047337995117964736,0.4444532623619151,True
B11_20220131,0.6044146,0.25030742333026235,0.4273610027913824,True
B7_20220116,0.8412043,0.010827036733560115,0.4260156611776016,True
B6_20220116,0.7739909,0.06476622091809925,0.4193785750224194,True
B6_20220101,0.83085954,0.0,0.4154297709465027,True
B1_20220101,0.6028388,0.19061323058728274,0.3967260224229291,True
B2_20220116,0.5919841,0.10774980869679562,0.34986695094301756,True
B4_20220116,0.52936596,0.05633410803617505,0.29285003240973484,True
B2_20220101,0.41642007,0.15287310388099942,0.2846465880990614,False
B3_20220131,0.4307241,0.05128604571564234,0.24100507994762677,False
B3_20220116,0.23778974,0.21852044367936338,0.22815508943869217,False
B5_20220131,0.29661503,0.14932573325004084,0.22297038379592649,False
B4_20220101,0.27826285,0.07613692465750099,0.17719988913996876,False
B5_20220116,0.22560117,0.1060420762290324,0.16582162135788625,False
B3_20220101,0.030047035,0.07975095134047673,0.05489899309261643,False
B5_20220101,0.0,0.07568224220210877,0.037841121101054385,False
